run,blackbox,model,learner,rules,coverage,seed,model_number,specificity_without,precision_without,recall_without,time_without,and_without,or_without,predicates_without,specificity_with,precision_with,recall_with,time_with,and_with,or_with,predicates_with,time_influential
1,bank,rfc,2,bayesian,0.6,45678901,4,0.964,0.424,0.269,225.741,1,0,2,0.86,0.307,0.641,1066.885,5,4,10,0.967
1,bank,rfc,2,bayesian,0.6,56789012,5,0.959,0.442,0.333,229.758,1,0,2,0.883,0.352,0.651,469.174,2,3,6,0.965
1,bank,rfc,2,induction,0.6,12345678,1,0.94,0.387,0.376,24.805,0,0,1,0.87,0.345,0.676,131.689,0,3,4,1.012
1,bank,rfc,2,induction,0.6,23456789,2,0.941,0.399,0.414,20.155,0,0,1,0.57,0.167,0.833,74.742,0,1,2,1.046
1,bank,rfc,2,induction,0.6,34567890,3,0.945,0.43,0.423,20.604,0,0,1,0.87,0.355,0.725,97.355,0,2,3,1.006
1,bank,rfc,2,induction,0.6,45678901,4,0.943,0.406,0.401,22.18,0,0,1,0.565,0.167,0.822,103.179,0,1,2,1.346
1,bank,rfc,2,induction,0.6,56789012,5,0.944,0.412,0.404,23.043,0,0,1,0.869,0.346,0.705,134.503,0,3,4,1.335
1,bank,rfc,2,islearn,0.6,12345678,1,0.751,0.21,0.66,234.456,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,1.005
1,bank,rfc,2,islearn,0.6,23456789,2,0.802,0.224,0.605,200.242,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,1.28
1,bank,rfc,2,islearn,0.6,34567890,3,0.755,0.209,0.656,262.359,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,1.354
1,bank,rfc,2,islearn,0.6,45678901,4,0.74,0.205,0.692,218.985,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,1.054
1,bank,rfc,2,islearn,0.6,56789012,5,0.76,0.205,0.633,288.874,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,1.036
1,bank,rfc,2,tree,0.6,12345678,1,0.978,0.468,0.191,1.395,1,0,2,0.879,0.373,0.715,1.42,3,3,7,1.345
1,bank,rfc,2,tree,0.6,23456789,2,0.959,0.444,0.352,1.027,1,0,2,0.892,0.351,0.622,1.089,5,4,10,1.015
1,bank,rfc,2,tree,0.6,34567890,3,0.964,0.468,0.325,1.491,1,0,2,0.903,0.391,0.631,1.502,2,2,5,1.432
1,bank,rfc,2,tree,0.6,45678901,4,0.981,0.495,0.192,1.368,1,0,2,0.884,0.335,0.603,1.428,5,4,10,1.351
1,bank,rfc,2,tree,0.6,56789012,5,0.959,0.442,0.333,1.052,1,0,2,0.897,0.385,0.66,1.072,3,4,8,1.02
1,bank,rfc,3,bayesian,0.6,12345678,1,0.959,0.43,0.309,209.877,1,0,2,0.886,0.352,0.617,473.625,2,2,5,0.967
1,bank,rfc,3,bayesian,0.6,23456789,2,0.959,0.444,0.352,212.259,1,0,2,0.895,0.353,0.609,901.186,4,4,9,0.966
1,bank,rfc,3,bayesian,0.6,34567890,3,0.959,0.458,0.349,195.67,1,0,2,0.908,0.4,0.622,397.717,2,2,5,0.984
1,bank,rfc,3,bayesian,0.6,45678901,4,0.948,0.416,0.383,182.905,1,0,2,0.873,0.339,0.67,403.779,2,3,6,0.966
1,bank,rfc,3,bayesian,0.6,56789012,5,0.957,0.436,0.344,208.45,1,0,2,0.888,0.357,0.638,441.808,2,3,6,0.966
1,bank,rfc,3,induction,0.6,12345678,1,0.94,0.387,0.376,40.35,0,0,1,0.87,0.344,0.677,208.067,0,3,4,1.058
1,bank,rfc,3,induction,0.6,23456789,2,0.941,0.399,0.414,66.22,0,0,1,0.866,0.334,0.714,176.886,0,2,3,1.309
1,bank,rfc,3,induction,0.6,34567890,3,0.945,0.43,0.423,50.098,0,0,1,0.87,0.355,0.727,218.19,0,2,3,1.419
1,bank,rfc,3,induction,0.6,45678901,4,0.943,0.406,0.401,41.226,0,0,1,0.869,0.337,0.685,197.867,0,3,4,0.992
1,bank,rfc,3,induction,0.6,56789012,5,0.944,0.412,0.404,48.972,0,0,1,0.869,0.345,0.705,266.186,0,3,4,1.349
1,bank,rfc,3,islearn,0.6,12345678,1,0.818,0.249,0.601,463.044,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,0.978
1,bank,rfc,3,islearn,0.6,23456789,2,0.813,0.233,0.603,537.769,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,0.981
1,bank,rfc,3,islearn,0.6,34567890,3,0.742,0.19,0.617,554.211,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,1.359
1,bank,rfc,3,islearn,0.6,45678901,4,0.752,0.192,0.608,540.406,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,1.339
1,bank,rfc,3,islearn,0.6,56789012,5,0.691,0.17,0.649,582.496,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,1.361
1,bank,rfc,3,tree,0.6,12345678,1,0.978,0.468,0.191,1.017,1,0,2,0.879,0.373,0.715,1.04,3,3,7,0.982
1,bank,rfc,3,tree,0.6,23456789,2,0.959,0.444,0.352,1.269,1,0,2,0.903,0.384,0.643,1.278,2,2,5,1.234
1,bank,rfc,3,tree,0.6,34567890,3,0.964,0.468,0.325,1.047,1,0,2,0.903,0.391,0.631,1.056,2,2,5,0.999
1,bank,rfc,3,tree,0.6,45678901,4,0.981,0.495,0.192,1.449,1,0,2,0.903,0.391,0.643,1.479,3,3,7,1.394
