blackbox,model,learner,rules,coverage,seed,model_number,time_without,time_with,specificity_without,precision_without,recall_without,and_without,or_without,predicates_without,specificity_with,precision_with,recall_with,and_with,or_with,predicates_with,time_influential,fscore_without,fscore_with
bank,rfc,2,tree,0.6,12345678,1,1.23,1.255,0.978,0.468,0.191,1,0,2,0.879,0.373,0.715,3,3,7,1.345,0.363,0.412
bank,rfc,2,tree,0.6,23456789,2,1.141,1.201,0.959,0.444,0.352,1,0,2,0.892,0.351,0.622,5,4,10,1.015,0.422,0.385
bank,rfc,2,tree,0.6,34567890,3,1.22,1.23,0.964,0.468,0.325,1,0,2,0.903,0.391,0.631,2,2,5,1.432,0.43,0.423
bank,rfc,2,tree,0.6,45678901,4,1.225,1.286,0.981,0.495,0.192,1,0,2,0.884,0.335,0.603,5,4,10,1.351,0.376,0.368
bank,rfc,2,tree,0.6,56789012,5,1.132,1.157,0.959,0.442,0.333,1,0,2,0.897,0.385,0.66,3,4,8,1.02,0.415,0.42
bank,rfc,3,bayesian,0.6,12345678,1,215.061,482.688,0.959,0.43,0.309,1,0,2,0.886,0.352,0.617,2,2,5,0.967,0.399,0.385
bank,rfc,3,bayesian,0.6,23456789,2,217.617,917.958,0.959,0.444,0.352,1,0,2,0.895,0.353,0.609,4,4,9,0.966,0.422,0.385
bank,rfc,3,bayesian,0.6,34567890,3,208.525,422.178,0.959,0.458,0.349,1,0,2,0.908,0.4,0.622,2,2,5,0.984,0.431,0.431
bank,rfc,3,bayesian,0.6,45678901,4,189.29,410.634,0.948,0.416,0.383,1,0,2,0.873,0.339,0.67,2,3,6,0.966,0.409,0.376
bank,rfc,3,bayesian,0.6,56789012,5,216.542,463.322,0.957,0.436,0.344,1,0,2,0.888,0.357,0.638,2,3,6,0.966,0.414,0.391
bank,rfc,3,induction,0.6,12345678,1,40.71,197.389,0.94,0.387,0.376,0,0,1,0.87,0.344,0.677,0,3,4,1.058,0.385,0.382
bank,rfc,3,induction,0.6,23456789,2,57.224,172.827,0.941,0.399,0.414,0,0,1,0.866,0.334,0.714,0,2,3,1.309,0.402,0.374
